HKDistrict,Region,Latitude,Longitude
Central and Western,Hong Kong Island,22.28666,114.15497
Eastern,Hong Kong Island,22.28411,114.22414
Southern,Hong Kong Island,22.24725,114.15884
Wan Chai,Hong Kong Island,22.27968,114.17168
Sham Shui Po,Kowloon,22.33074,114.1622
Kowloon City,Kowloon,22.3282,114.19155
Kwun Tong,Kowloon,22.31326,114.22581
Wong Tai Sin,Kowloon,22.33353,114.19686
Yau Tsim Mong,Kowloon,22.32138,114.1726
Islands,New Territories,22.26114,113.94608
Kwai Tsing,New Territories,22.35488,114.08401
North,New Territories,22.49471,114.13812
Sai Kung,New Territories,22.38143,114.27052
Sha Tin,New Territories,22.38715,114.19534
Tai Po,New Territories,22.45085,114.16422
Tsuen Wan,New Territories,22.36281,114.12907
Tuen Mun,New Territories,22.39163,113.9770885
Yuen Long,New Territories,22.44559,114.02218
