District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Central and Western,22.28666,114.15496999999999,Four Seasons Hotel Hong Kong (香港四季酒店),22.28655423619619,114.15692916188699,Hotel
Central and Western,22.28666,114.15496999999999,Samsen (泰館),22.285082050407347,114.15228568017483,Thai Restaurant
Central and Western,22.28666,114.15496999999999,Godenya,22.28467265865365,114.15319517201786,Japanese Restaurant
Central and Western,22.28666,114.15496999999999,IFC Mall Ferry Pier Walkway,22.28709479519568,114.15767493500542,Scenic Lookout
Central and Western,22.28666,114.15496999999999,The Spa at Four Seasons,22.286278830478437,114.15762268308455,Spa
Central and Western,22.28666,114.15496999999999,Ronin,22.284525,114.15243,Japanese Restaurant
Central and Western,22.28666,114.15496999999999,Coco Espresso,22.285117083604856,114.15246596526333,Coffee Shop
Central and Western,22.28666,114.15496999999999,Pure Yoga,22.283022433502484,114.15567435938205,Yoga Studio
Central and Western,22.28666,114.15496999999999,Central Indian Restaurant,22.285622,114.153839,Indian Restaurant
Central and Western,22.28666,114.15496999999999,HK Brewcraft,22.283352255860205,114.15473787260294,Beer Store
Central and Western,22.28666,114.15496999999999,001,22.283574289373693,114.15419899821195,Cocktail Bar
Central and Western,22.28666,114.15496999999999,VEA Restaurant and Bar,22.28489,114.152953,French Restaurant
Central and Western,22.28666,114.15496999999999,The Beer Bay,22.287795455088677,114.15754303008653,Beer Garden
Central and Western,22.28666,114.15496999999999,Lung King Heen (龍景軒),22.28682460692335,114.15738642654397,Cantonese Restaurant
Central and Western,22.28666,114.15496999999999,La Crêperie,22.285252176811102,114.15097836176442,Creperie
Central and Western,22.28666,114.15496999999999,ifc mall (國際金融中心商場),22.2846131,114.158156172,Shopping Mall
Central and Western,22.28666,114.15496999999999,Marks & Spencer Food,22.287795681111362,114.15299680066443,Grocery Store
Central and Western,22.28666,114.15496999999999,city'super,22.2863191254814,114.15780586214832,Supermarket
Central and Western,22.28666,114.15496999999999,The Pottinger (石板街酒店),22.282996028522952,114.15541252715063,Hotel
Central and Western,22.28666,114.15496999999999,Monsieur Chatté,22.286217921085733,114.1506210443472,Wine Shop
Central and Western,22.28666,114.15496999999999,Cheung Hing Kee Shanghai Pan-fried Buns (祥興記上海生煎包),22.282422,114.153536,Dumpling Restaurant
Central and Western,22.28666,114.15496999999999,PMQ (元創方),22.283297722569138,114.15197106491307,Arts & Crafts Store
Central and Western,22.28666,114.15496999999999,Brass Spoon,22.2833287811399,114.15609290015186,Asian Restaurant
Central and Western,22.28666,114.15496999999999,Apple ifc mall,22.284612,114.15907,Electronics Store
Central and Western,22.28666,114.15496999999999,Why 50,22.285155,114.151289,Café
Central and Western,22.28666,114.15496999999999,298 Nikuya Room,22.283033252346435,114.15512270637576,BBQ Joint
Central and Western,22.28666,114.15496999999999,Sweetpea Café,22.28406807268148,114.15225652935356,Coffee Shop
Central and Western,22.28666,114.15496999999999,Oddies Foodies,22.284290766502618,114.15198015051648,Ice Cream Shop
Central and Western,22.28666,114.15496999999999,The Old Man,22.28277029725924,114.15177432061765,Bar
Central and Western,22.28666,114.15496999999999,Chôm Chôm,22.282454870964116,114.15239035688232,Vietnamese Restaurant
Central and Western,22.28666,114.15496999999999,Pure Fitness,22.28197572998584,114.153248409034,Gym / Fitness Center
Central and Western,22.28666,114.15496999999999,Table,22.28563362437341,114.15215361475725,Modern European Restaurant
Central and Western,22.28666,114.15496999999999,Tai Kwun Centre for Heritage and Arts (大館古蹟及藝術館),22.281223929079577,114.15403246879578,Art Museum
Central and Western,22.28666,114.15496999999999,Te Quiero Mucho,22.28475303311948,114.15063461438282,Mexican Restaurant
Central and Western,22.28666,114.15496999999999,Yardbird,22.287075918955257,114.14917656498513,Japanese Restaurant
Central and Western,22.28666,114.15496999999999,Pica Pica,22.28692711007466,114.15056367549492,Tapas Restaurant
Central and Western,22.28666,114.15496999999999,Little Mermaid Bakery,22.28634865814487,114.15775758181589,Bakery
Central and Western,22.28666,114.15496999999999,Cupping Room,22.28511138656855,114.15048355436443,Café
Central and Western,22.28666,114.15496999999999,Blue Supreme,22.285147834484405,114.14938508076087,Bar
Central and Western,22.28666,114.15496999999999,Porker,22.282586555330898,114.15504680061669,Japanese Restaurant
Central and Western,22.28666,114.15496999999999,Nood Food,22.281982672423137,114.15328636408653,Juice Bar
Central and Western,22.28666,114.15496999999999,Coco Espresso,22.282936390200362,114.15518045114321,Café
Central and Western,22.28666,114.15496999999999,La Vache!,22.28266096638407,114.15274851968225,French Restaurant
Central and Western,22.28666,114.15496999999999,Mandarin Grill + Bar (文華扒房＋酒吧),22.281928,114.159408,Steakhouse
Central and Western,22.28666,114.15496999999999,Dear Lilly,22.285838739534803,114.15846199459266,Mediterranean Restaurant
Central and Western,22.28666,114.15496999999999,Yakiniku Great,22.284567,114.151165,Japanese Restaurant
Central and Western,22.28666,114.15496999999999,Marks & Spencer Food,22.282009483485545,114.15329639119537,Gourmet Shop
Central and Western,22.28666,114.15496999999999,Venchi Chocolate,22.282686,114.155382,Dessert Shop
Central and Western,22.28666,114.15496999999999,Pure Yoga,22.28069795046548,114.15495965763172,Yoga Studio
Central and Western,22.28666,114.15496999999999,Palace IFC (百老匯院線),22.285742434142808,114.1581680176365,Multiplex
Central and Western,22.28666,114.15496999999999,Cupping Room,22.283159763705925,114.15449422928616,Coffee Shop
Central and Western,22.28666,114.15496999999999,Mandarin Oriental Hong Kong (香港文華東方酒店),22.2818572,114.1593819,Hotel
Central and Western,22.28666,114.15496999999999,Beyrouth Bistro,22.28264977185536,114.15372578395905,Lebanese Restaurant
Central and Western,22.28666,114.15496999999999,In-Town Check-In (市區預辦登機),22.28497295214805,114.1583061105494,Airport Service
Central and Western,22.28666,114.15496999999999,CrossFit 852,22.282767552126124,114.15648672904673,Gym / Fitness Center
Central and Western,22.28666,114.15496999999999,PiCi,22.283248420523336,114.15208794223038,Italian Restaurant
Central and Western,22.28666,114.15496999999999,Bedu,22.284187231646445,114.1522859471035,Middle Eastern Restaurant
Central and Western,22.28666,114.15496999999999,New Punjab Club,22.280250132004983,114.1554749944506,Pakistani Restaurant
Central and Western,22.28666,114.15496999999999,The Globe,22.282424099735824,114.15303478589706,Beer Bar
Central and Western,22.28666,114.15496999999999,Carbone,22.28069817627896,114.15544112645938,Italian Restaurant
Central and Western,22.28666,114.15496999999999,XYZ,22.280876914169003,114.15710820768055,Cycle Studio
Central and Western,22.28666,114.15496999999999,8½ Otto e Mezzo Bombana,22.28172617346849,114.15876650396412,Italian Restaurant
Central and Western,22.28666,114.15496999999999,Frantzén's Kitchen by Björn Frantzén,22.284807509673538,114.14821950688149,Scandinavian Restaurant
Central and Western,22.28666,114.15496999999999,Louise,22.28286597045781,114.15173381567001,French Restaurant
Central and Western,22.28666,114.15496999999999,Kinjo's Izakaya,22.28203982927642,114.1523427628944,Japanese Restaurant
Central and Western,22.28666,114.15496999999999,Man Wah (文華廳),22.281993493933687,114.1592418343239,Cantonese Restaurant
Central and Western,22.28666,114.15496999999999,The Envoy,22.283091620370975,114.15543650431525,Cocktail Bar
Central and Western,22.28666,114.15496999999999,Fresca,22.282595,114.152942,Vegetarian / Vegan Restaurant
Central and Western,22.28666,114.15496999999999,Sake Bar Ginn,22.280859,114.155308,Japanese Restaurant
Central and Western,22.28666,114.15496999999999,The Mandarin Cake Shop,22.281959,114.159416,Bakery
Central and Western,22.28666,114.15496999999999,Pure Fitness,22.28513691319918,114.15945505016585,Gym / Fitness Center
Central and Western,22.28666,114.15496999999999,The Wise King,22.282173,114.152838,Speakeasy
Central and Western,22.28666,114.15496999999999,Tango Argentinian Steakhouse,22.281835,114.154728,Argentinian Restaurant
Central and Western,22.28666,114.15496999999999,65 Peel (何蘭正),22.282315,114.152128,Gastropub
Central and Western,22.28666,114.15496999999999,Bar de Luxe,22.280977267738734,114.1558809488646,Cocktail Bar
Central and Western,22.28666,114.15496999999999,Craftissimo,22.284588503499407,114.14829326048762,Beer Store
Central and Western,22.28666,114.15496999999999,NOC Coffee,22.28271,114.153299,Coffee Shop
Central and Western,22.28666,114.15496999999999,Chachawan,22.285581460834642,114.14806617344306,Thai Restaurant
Central and Western,22.28666,114.15496999999999,Posto Pubblico,22.281737,114.152521,Italian Restaurant
Central and Western,22.28666,114.15496999999999,Shady Acres,22.282634,114.152907,Wine Bar
Central and Western,22.28666,114.15496999999999,Belon,22.281727295355918,114.15246491843007,French Restaurant
Central and Western,22.28666,114.15496999999999,Nocturne,22.28326284266802,114.15326553282844,Whisky Bar
Central and Western,22.28666,114.15496999999999,Teakha (茶·家),22.28450581394152,114.1484074531104,Tea Room
Central and Western,22.28666,114.15496999999999,Zuma,22.280583,114.157857,Japanese Restaurant
Central and Western,22.28666,114.15496999999999,Quinary,22.282796205468646,114.15290284941022,Cocktail Bar
Central and Western,22.28666,114.15496999999999,Hazel & Hershey,22.282196104064262,114.15207694231927,Café
Central and Western,22.28666,114.15496999999999,Common Ground,22.28322803687363,114.1509529322581,Café
Central and Western,22.28666,114.15496999999999,Duck & Waffle,22.285339,114.158745,English Restaurant
Central and Western,22.28666,114.15496999999999,Mott 32 (卅二公館),22.280285752897708,114.1590803861618,Dim Sum Restaurant
Central and Western,22.28666,114.15496999999999,Tai Kwun Contemporary,22.281033039640697,114.15367113667267,Art Gallery
Central and Western,22.28666,114.15496999999999,Ovolo Central,22.28057318384849,114.15452371483454,Hotel
Central and Western,22.28666,114.15496999999999,Sift Patisserie,22.280921803808088,114.15988494310444,Cupcake Shop
Central and Western,22.28666,114.15496999999999,La Petite Maison,22.28292183451901,114.15536718434302,French Restaurant
Central and Western,22.28666,114.15496999999999,Amber,22.2806128,114.1577249,French Restaurant
Central and Western,22.28666,114.15496999999999,Tate Dining Room & Bar,22.280947501169514,114.15266051491075,Restaurant
Central and Western,22.28666,114.15496999999999,Pure Fitness,22.280941,114.155457,Gym / Fitness Center
Central and Western,22.28666,114.15496999999999,Casa Lisboa,22.281394,114.154851,Portuguese Restaurant
Central and Western,22.28666,114.15496999999999,MEATS,22.28215314116702,114.15274801262039,Restaurant
Central and Western,22.28666,114.15496999999999,Sake Central,22.28323779564697,114.1515187633941,Sake Bar
Central and Western,22.28666,114.15496999999999,Arcane,22.280632,114.156831,French Restaurant
Eastern,22.284110000000002,114.22413999999999,Ashoka Indian Restaurant (皇子印度餐廳),22.280257100544592,114.22475346783456,Indian Restaurant
Eastern,22.284110000000002,114.22413999999999,The Eslite Spectrum (誠品生活),22.286109927720396,114.21851165672392,Bookstore
Eastern,22.284110000000002,114.22413999999999,Little Kitchen,22.281781253443764,114.22151634936964,French Restaurant
Eastern,22.284110000000002,114.22413999999999,Borgo C (中意仿),22.286244032823273,114.22321536139401,Chinese Restaurant
Eastern,22.284110000000002,114.22413999999999,海南雞專門店,22.283031659973314,114.22193747475882,Chinese Restaurant
Eastern,22.284110000000002,114.22413999999999,Aldrich Bay Park (愛秩序灣公園),22.282662544950405,114.22487738754329,Park
Eastern,22.284110000000002,114.22413999999999,Master Low-key Food Shop (低調高手大街小食),22.279212086093487,114.22960599296015,Snack Place
Eastern,22.284110000000002,114.22413999999999,Sai Wan Ho Harbour Park (西灣河海濱公園),22.286798,114.223585,Park
Eastern,22.284110000000002,114.22413999999999,Sugar,22.286114501104702,114.21619522020022,Hotel Bar
Eastern,22.284110000000002,114.22413999999999,On Lee Noodle Shop (安利魚蛋粉麵),22.280287845209767,114.23044504766645,Noodle House
Eastern,22.284110000000002,114.22413999999999,MUJI (無印良品),22.28616234503421,114.21743660657434,Furniture / Home Store
Eastern,22.284110000000002,114.22413999999999,Cityplaza (太古城中心),22.28607359001145,114.21740117103899,Shopping Mall
Eastern,22.284110000000002,114.22413999999999,華記士多,22.283213990305203,114.22070650474656,Cantonese Restaurant
Eastern,22.284110000000002,114.22413999999999,APITA,22.28656791612397,114.2174111414338,Department Store
Eastern,22.284110000000002,114.22413999999999,紹華小廚,22.280542870352193,114.2271238700188,Chinese Restaurant
Eastern,22.284110000000002,114.22413999999999,Aldrich Bay Promenade (愛秩序灣海濱花園),22.282609,114.229576,Park
Eastern,22.284110000000002,114.22413999999999,MOViE MOViE Cityplaza,22.285796797428272,114.21729061595461,Multiplex
Eastern,22.284110000000002,114.22413999999999,East Hong Kong (東隅),22.285988,114.216207,Hotel
Eastern,22.284110000000002,114.22413999999999,Apita Food Square,22.286570100747827,114.21740464918084,Food Court
Eastern,22.284110000000002,114.22413999999999,Ootoya (大戶屋),22.284785420334362,114.21659862028189,Japanese Restaurant
Eastern,22.284110000000002,114.22413999999999,Kam Tung Kitchen (金東大小廚),22.279443468367084,114.2301086127132,Dim Sum Restaurant
Eastern,22.284110000000002,114.22413999999999,Hokkaidon (北海丼),22.285959115670188,114.21738963254185,Japanese Restaurant
Eastern,22.284110000000002,114.22413999999999,ArtisTree,22.287079759803934,114.21110799524018,Art Gallery
Eastern,22.284110000000002,114.22413999999999,The Salted Pig,22.286103856271513,114.22413461473337,Restaurant
Eastern,22.284110000000002,114.22413999999999,Hong Kong Museum of Coastal Defence (香港海防博物館),22.281943156257167,114.23544213890018,History Museum
Eastern,22.284110000000002,114.22413999999999,Feast (Food by EAST),22.286190953658327,114.21600243760838,Café
Eastern,22.284110000000002,114.22413999999999,Ice Palace (冰上皇宮),22.287096090230033,114.21735705844222,Skating Rink
Eastern,22.284110000000002,114.22413999999999,Quarry Bay Promenade (鰂魚涌海濱花園),22.290747421242937,114.21335454898649,Park
Eastern,22.284110000000002,114.22413999999999,Quarry Bay Park (鰂魚涌公園),22.28787195750096,114.21132108482568,Park
Eastern,22.284110000000002,114.22413999999999,nood food,22.288066586075654,114.21194820598296,Salad Place
Eastern,22.284110000000002,114.22413999999999,Peking Garden (北京樓),22.28717142692757,114.21731836224423,Beijing Restaurant
Eastern,22.284110000000002,114.22413999999999,Nha Trang (芽莊越式料理),22.28592640466921,114.21415996575134,Vietnamese Restaurant
Eastern,22.284110000000002,114.22413999999999,PizzaExpress,22.284681732849965,114.21515798557492,Pizza Place
Eastern,22.284110000000002,114.22413999999999,LOG-ON,22.286124993954964,114.21854527335714,Department Store
Eastern,22.284110000000002,114.22413999999999,Farmer's Cooking,22.288758573774906,114.21073703895122,Vegetarian / Vegan Restaurant
Eastern,22.284110000000002,114.22413999999999,Nutsy Coffee Bar,22.287148,114.212109,Coffee Shop
Eastern,22.284110000000002,114.22413999999999,Ito San Japanese Cuisine (伊藤),22.288094763433694,114.21311654254977,Japanese Restaurant
Eastern,22.284110000000002,114.22413999999999,Cow Bean by Pokka Café,22.284215,114.216275,Café
Eastern,22.284110000000002,114.22413999999999,Waterfall Sports & Wellness,22.28425186217324,114.21624898910522,Gym / Fitness Center
Eastern,22.284110000000002,114.22413999999999,Wong Lam Kee Chiu Chow Fish Ball Noodles (王林記潮州魚蛋粉麵),22.280480433602435,114.23054529760694,Noodle House
Eastern,22.284110000000002,114.22413999999999,Myung Ga Korean Restaurant (名家韓國餐廳),22.286517083347118,114.21646863274587,Korean Restaurant
Eastern,22.284110000000002,114.22413999999999,Marks & Spencer (馬莎百貨),22.28611699965177,114.21858439913562,Department Store
Eastern,22.284110000000002,114.22413999999999,UNIQLO (優衣庫),22.28593953412524,114.21705901622772,Clothing Store
Eastern,22.284110000000002,114.22413999999999,Espresso Alchemy,22.28786,114.211533,Coffee Shop
Eastern,22.284110000000002,114.22413999999999,Sen-ryo (千両),22.286180057096143,114.21489592785261,Japanese Restaurant
Eastern,22.284110000000002,114.22413999999999,Gateway Cuisine (南大門),22.288741553718555,114.23689553577056,Seafood Restaurant
Eastern,22.284110000000002,114.22413999999999,TREATS,22.28718245608095,114.21743993073275,Food Court
Eastern,22.284110000000002,114.22413999999999,Formosa Autumn (一葉臺灣料理),22.288655673770485,114.21047132121505,Taiwanese Restaurant
Eastern,22.284110000000002,114.22413999999999,% Arabica,22.28390411142317,114.21250548959458,Coffee Shop
Eastern,22.284110000000002,114.22413999999999,金峰靚靚粥麵,22.284584220586304,114.21306552212656,Cantonese Restaurant
Eastern,22.284110000000002,114.22413999999999,Kam Lung Thai Food (金龍泰國菜),22.28420058290256,114.21303643303209,Thai Restaurant
Eastern,22.284110000000002,114.22413999999999,Chiuchow Garden (潮庭),22.287592440141374,114.21769738197327,Dim Sum Restaurant
Eastern,22.284110000000002,114.22413999999999,Plat du Jour,22.28786627490614,114.21133197279292,French Restaurant
Eastern,22.284110000000002,114.22413999999999,Pure Yoga,22.287519353935767,114.21190919689852,Yoga Studio
Eastern,22.284110000000002,114.22413999999999,Häagen-Dazs (Häagen-Dazs 哈根達斯),22.285679874258314,114.2174180534139,Ice Cream Shop
Eastern,22.284110000000002,114.22413999999999,Public,22.286086259568993,114.21301360583585,Café
Eastern,22.284110000000002,114.22413999999999,Shau Kei Wan Market (筲箕灣街市),22.277946015173903,114.22945160829029,Farmers Market
Eastern,22.284110000000002,114.22413999999999,Yick Cheong Building (益昌大廈),22.284197,114.212336,Building
Eastern,22.284110000000002,114.22413999999999,太爺雞,22.280352975631086,114.23047010386253,Chinese Restaurant
Eastern,22.284110000000002,114.22413999999999,Northern China (匯泉居),22.287928779614614,114.21200632786827,Chinese Restaurant
Eastern,22.284110000000002,114.22413999999999,AEON Style (永旺),22.284685494284886,114.2160110692848,Department Store
Eastern,22.284110000000002,114.22413999999999,Marugame Seimen (丸亀製麺),22.286561133769546,114.2173985155374,Noodle House
Eastern,22.284110000000002,114.22413999999999,Camper’s (坐忘),22.286402991050196,114.21119357170059,Japanese Restaurant
Eastern,22.284110000000002,114.22413999999999,The Coffee Academics,22.28624733110173,114.214948960309,Coffee Shop
Eastern,22.284110000000002,114.22413999999999,Happiness Seafood Restaurant (快樂漁港酒家),22.289038804320636,114.23724160375009,Seafood Restaurant
Eastern,22.284110000000002,114.22413999999999,Capital Café (華星冰室),22.277119,114.23004,Cha Chaan Teng
Eastern,22.284110000000002,114.22413999999999,simplylife BAKERY CAFÉ,22.286235195333298,114.21685143611084,Café
Eastern,22.284110000000002,114.22413999999999,Pregio by Barista Caffe,22.286350918058947,114.21157541908245,Café
Eastern,22.284110000000002,114.22413999999999,L Cinema,22.27933632588735,114.22999726083525,Movie Theater
Eastern,22.284110000000002,114.22413999999999,囍點,22.284746759675876,114.21430800971899,Chinese Restaurant
Eastern,22.284110000000002,114.22413999999999,Sift,22.28620097610669,114.21241862677408,Cupcake Shop
Eastern,22.284110000000002,114.22413999999999,Pure Fitness,22.287373821581596,114.21196628775265,Gym / Fitness Center
Eastern,22.284110000000002,114.22413999999999,Mr. & Mrs. Fox,22.287365634159677,114.21165040245643,New American Restaurant
Eastern,22.284110000000002,114.22413999999999,Genki Sushi (元気寿司),22.284595438355797,114.2157652352005,Sushi Restaurant
Eastern,22.284110000000002,114.22413999999999,Grand Cuisine Shanghai Kitchen (君頤上海小廚),22.28644086804489,114.21450018882751,Shanghai Restaurant
Eastern,22.284110000000002,114.22413999999999,Starbucks (星巴克),22.28702800159346,114.21361222557252,Coffee Shop
Eastern,22.284110000000002,114.22413999999999,Tong Chong Street Market (Tong Chong Street Market 糖廠街市集),22.28742999401385,114.21170147629634,Farmers Market
Eastern,22.284110000000002,114.22413999999999,PizzaExpress,22.287121894244258,114.21364703016914,Pizza Place
Eastern,22.284110000000002,114.22413999999999,La Rôtisserie,22.285861108414977,114.21344203752219,French Restaurant
Eastern,22.284110000000002,114.22413999999999,Codfather,22.287592644686736,114.21172498250185,Seafood Restaurant
Eastern,22.284110000000002,114.22413999999999,Wah Cheong Congee & Noodles (華昌粥麵),22.286868327339445,114.21473562559169,Hong Kong Restaurant
Eastern,22.284110000000002,114.22413999999999,Flames Charcoal Chicken,22.2876201758976,114.21173926002943,Fried Chicken Joint
Eastern,22.284110000000002,114.22413999999999,Hakodate (函館),22.288071644223045,114.21087892407843,Ramen Restaurant
Eastern,22.284110000000002,114.22413999999999,Arisu Korean Restaurant 阿利水韓國料理 (阿利水韓國料理),22.28628887267868,114.21169345105287,Korean Restaurant
Eastern,22.284110000000002,114.22413999999999,Food Le Parc by PARKnSHOP,22.28669391304523,114.21364275391487,Supermarket
Eastern,22.284110000000002,114.22413999999999,Shiro,22.287396508052684,114.21210893927659,Sushi Restaurant
Eastern,22.284110000000002,114.22413999999999,Frites,22.287305358751976,114.21337119007194,Belgian Restaurant
Eastern,22.284110000000002,114.22413999999999,Pret A Manger,22.287873645334344,114.21132705206074,Sandwich Place
Eastern,22.284110000000002,114.22413999999999,Enoteca,22.28742887091665,114.21176023021475,Mediterranean Restaurant
Eastern,22.284110000000002,114.22413999999999,Délifrance,22.286783639233253,114.213680292711,Café
