SGDistrict,GeneralLocation,SearchedLatitude,SearchedLongitude
1,"Raffles Place, Cecil, Marina Square, People's Park",1.28512989825,103.850264925
2,"Anson, Tanjong Pagar",1.2745257749999999,103.84392295
3,"Bukit Merah, Queenstown, Tiong Bahru",1.285460623,103.82070523333333
4,"Telok Blangah, Harbourfront",1.2699263815,103.8136967
5,"Pasir Panjang, West Coast Terrace, Clementi",1.310088417,103.76794093333335
6,"High Street, Beach Road",1.29506743,103.85430319999999
7,"Middle Road, Golden Mile",1.3009612155,103.85919084999999
8,"Little India, Farrer Park, Jalan Besar, Lavender Street",1.3117956430000002,103.85700395
9,"Orchard, Cairnhill, River Valley",1.3008096076666666,103.83942953333333
10,"Ardmore, Bukit Timah, Holland Road, Tanglin",1.3168576884999998,103.80230765
11,"Watten Estate, Novena, Thomson",1.3430296536666664,103.82742453333333
12,"Balestier, Toa Payoh, Serangoon",1.3342948313333334,103.85554760000001
13,"Macpherson, Braddell",1.3364607945,103.859661
14,"Geylang, Eunos",1.31570473,103.89649385
15,"Katong, Joo Chiat, Amber Road",1.3070236136666669,103.90170853333335
16,"Bedok, Upper East Coast, Eastwood, Kew Drive",1.3199079782499998,103.94783240000001
17,"Loyang, Changi",1.371392835,103.9669023
18,"Simei, Tampines, Pasir Ris",1.3588738739999997,103.95167150000002
19,"Serangoon Garden, Hougang, Punggol",1.380528291,103.88292373333336
20,"Bishan, Ang Mo Kio",1.3591416845,103.8436171
21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",1.3425556833333332,103.76667049999999
22,"Jurong, Tuas",1.3314635245000002,103.70140995
23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",1.37813025875,103.766004325
24,"Lim Chu Kang, Tengah",1.3958958469999998,103.7221268
25,"Kranji, Woodgrove, Woodlands",1.4264472926666667,103.76213753333333
26,"Upper Thomson, Springleaf",1.377477654,103.828889
27,"Yishun, Sembawang",1.4332029605,103.8284879
28,Seletar Road,1.3840428619999998,103.868238
