District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,CITY Hot Pot Shabu shabu,1.284172851493935,103.85158494974766,Hotpot Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Ritual Gym,1.2859646427413924,103.84865063120371,Gym
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Sabaai Sabaai Traditional Thai Massage,1.2869638906726741,103.84951228210039,Massage Studio
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Virgin Active,1.284608,103.850815,Gym / Fitness Center
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Amoy Hotel,1.2831183226093794,103.8485385594228,Hotel
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,The Fullerton Hotel,1.2862,103.85298,Hotel
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,The Salad Shop,1.2855231912921747,103.85117679834366,Salad Place
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,The Fullerton Bay Hotel,1.2838775216184781,103.85331433621205,Hotel
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,CULINARYON,1.284876109016574,103.85093299421413,Comfort Food Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Fat Saigon Boy,1.2829771911083339,103.84906805089604,Vietnamese Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,1-Altitude,1.284794431317664,103.85115087325562,Cocktail Bar
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Asian Civilisations Museum,1.2871133945901516,103.85205165999581,History Museum
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Cavenagh Bridge,1.2865958046384585,103.8523381948471,Bridge
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,FOC by Nandu Jubany,1.2874602362180525,103.84750266372237,Spanish Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Fullerton WaterFront,1.2848221090926681,103.85343323411014,Waterfront
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Headquarters,1.2877232260225064,103.84938113291551,Nightclub
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,28 HongKong Street,1.287737,103.846934,Cocktail Bar
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,One Fullerton,1.2857966380343786,103.85418059470722,Plaza
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Luke's Oyster Bar & Chop House,1.2824588279356128,103.84724044318698,Seafood Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,PARKROYAL COLLECTION,1.2857538031996685,103.84616911411285,Hotel
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Victoria Theatre & Victoria Concert Hall,1.2883541544235495,103.85173122943438,Monument / Landmark
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Shinzo Japanese Cuisine,1.2882370520908375,103.84767701382611,Japanese Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,The Merlion,1.286906421390687,103.85435611180665,Outdoor Sculpture
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Esplanade Park,1.2889675708353954,103.85358044117562,Park
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,National Gal­lery Singa­pore,1.2907395913341984,103.85154786540198,Art Gallery
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Orchid Club,1.2855693301340603,103.84639413031155,Hotel Bar
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Southbridge,1.2884173931217346,103.84922306338333,Bistro
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Napoleon Food & Wine Bar,1.2799249387439204,103.84733300574288,Wine Bar
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Artemis Grill,1.2819640906980638,103.85038494276205,Modern European Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Starbucks Reserve Store (Starbucks Reserve),1.2870494697229158,103.85359982710769,Coffee Shop
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Bar-a-thym,1.282494438293649,103.84721631470924,French Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Lau Pa Sat Satay Street,1.280261,103.850235,Street Food Gathering
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Merci Marcel Club Street,1.282742477971281,103.84708897443797,Wine Bar
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Yen Yakiniku,1.2810744259693214,103.84574260981839,Japanese Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Odette Restaurant,1.2896794388567234,103.85169075444492,French Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Song Fa Bak Kut Teh 松發肉骨茶 (Song Fa Bak Kut Teh),1.2850016325223186,103.84452162500196,Soup Place
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,the matcha project x copper express,1.2813219749170086,103.85272251255627,Café
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Marina Bay,1.284992247519025,103.8566780090332,Bay
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Marina Bay Waterfront Promenade,1.2811245137355043,103.85555642836434,Waterfront
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Clarke Quay Riverside,1.29006,103.846157,Waterfront
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Sarnies,1.2815286862041824,103.84811698897273,Sandwich Place
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Esplanade Theatre,1.2899318061542575,103.8550369159392,Theater
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Esplanade - Theatres On The Bay,1.2898371845798673,103.85540355727072,Performing Arts Venue
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Native,1.2801354244146959,103.84684430802805,Cocktail Bar
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Esplanade Outdoor Theatre,1.2889043425663702,103.85600131170524,Performing Arts Venue
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Caffe Fernet,1.2826692114051046,103.85374749884602,Italian Restaurant
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Singapore River,1.288998060124862,103.84695836853678,River
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Sofitel So Singapore,1.280016815397146,103.84981314280776,Hotel
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,SOS,1.279995674897267,103.85292497900159,Pub
"1 - Raffles Place, Cecil, Marina Square, People's Park",1.2851298982500001,103.850264925,Swissôtel Merchant Court,1.2884344233292604,103.84567350193224,Hotel
